fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230729 062453	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6826	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100243992902692	0.577046585273262	95	13022	31920	143869925.037481	53
20230729 063557	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9999	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100095951435563	0.610767570745554	4	12651	34549	140466223.388306	54
20230729 065038	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5640	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100458866212225	0.459732169975719	129	12728	32497	142926031.484258	55
20230729 070855	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6354	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100804859275697	0.51139899273746	160	12045	31968	144098158.92054	56
20230729 072836	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7271	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100062407713594	0.503391530670407	153	11032	34310	142741484.257871	57
20230729 075053	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8406	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100684036755675	0.513707355124338	166	12478	32520	142579190.404798	58
20230729 081349	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8633	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100244202848598	0.515429051319558	187	12495	32724	143598314.842579	59
20230729 083644	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8995	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0101166492727556	0.474344374876124	262	14231	32188	143052431.784108	60
20230729 085254	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5917	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100608186030313	0.531617475548096	189	12443	32551	143585800.5997	61
20230729 090950	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6202	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100268688116888	0.518054421193634	192	11919	32768	143820077.961019	62
20230729 092901	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7298	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100246954993088	0.480359116414709	232	13726	33382	143186953.523238	63
20230729 094546	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6167	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100329691113224	0.511910458243265	190	12150	32164	143847190.404798	64
20230729 100232	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6167	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100329691113224	0.511910458243265	190	12150	32164	143847190.404798	65
20230729 101926	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5817	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100181912039749	0.518336565604496	187	11824	31497	144116856.071964	66
